¿Cuál es el órgano responsable de bombear sangre en el cuerpo humano?,Corazón ,Estómago,Hígado,Riñón
"¿Qué planeta es conocido como el ""Planeta Rojo""?",Marte ,Venus,Júpiter,Saturno
¿Cuál es el proceso por el cual las plantas convierten la luz solar en energía?,Fotosíntesis ,Respiración,Fermentación,Evaporación
¿Qué gas es esencial para la respiración humana?,Oxígeno ,Dióxido de carbono,Helio,Hidrógeno
¿Cuál es la unidad básica de la vida?,Célula ,Átomo,Molécula,Organo
¿Qué tipo de roca se forma a partir de la solidificación del magma?,Ígnea ,Sedimentaria,Metamórfica,Orgánica
¿Qué fenómeno natural ocurre cuando la luz del sol se refracta en gotas de agua?,Arco iris,Tornado,Huracán,Tsunami
¿Cuál es el elemento químico más abundante en el universo?,Hidrógeno ,Oxígeno,Carbono,Nitrógeno
¿Qué tipo de energía se genera a partir del movimiento del viento?,Solar,Solar,Geotérmica,Hidráulica
¿Cuál es el principal gas de efecto invernadero?,Dióxido de carbono,Oxígeno,Metano,Nitrógeno
¿Qué parte de la planta absorbe el agua del suelo?,Raíces ,Hojas,Flores,Tallo
¿Qué tipo de animal es un delfín?,Mamífero ,Reptil,Anfibio,Insecto
¿Cuál es el sistema que regula las funciones del cuerpo humano?,Nervioso ,Digestivo,Respiratorio,Circulatorio
¿Cuál es el proceso por el cual el agua pasa de estado líquido a vapor?,Evaporación ,Condensación,Sublimación,Solidificación
¿Qué tipo de animal tiene un esqueleto interno?,Vertebrado ,Invertebrado,Molusco,Arácnido
¿Qué parte del ojo humano es responsable de la percepción del color?,Retina ,Córnea,Iris,Pupila